SHOULD: 14.1976	12.6203
IS    : 14.1978	12.6207
SHOULD: 14.1981	12.6179
IS    : 14.1984	12.6178
SHOULD: 14.1987	12.6156
IS    : 14.199	12.6149
SHOULD: 14.1992	12.6133
IS    : 14.1996	12.6121
SHOULD: 14.2001	12.6086
IS    : 14.2002	12.6092
SHOULD: 14.2005	12.6064
IS    : 14.2007	12.6064
SHOULD: 14.201	12.6041
IS    : 14.2012	12.6035
SHOULD: 14.2014	12.6018
IS    : 14.2017	12.6007
SHOULD: 14.2022	12.5973
IS    : 14.2022	12.5979
SHOULD: 14.2025	12.5951
IS    : 14.2026	12.5952
SHOULD: 14.2029	12.5928
IS    : 14.2031	12.5924
SHOULD: 14.2032	12.5906
IS    : 14.2035	12.5896
SHOULD: 14.2038	12.5862
IS    : 14.2038	12.5869
SHOULD: 14.2041	12.5841
IS    : 14.2042	12.5841
SHOULD: 14.2044	12.5819
IS    : 14.2045	12.5814
SHOULD: 14.2046	12.5798
IS    : 14.2048	12.5787
SHOULD: 14.2051	12.5755
IS    : 14.2051	12.576
SHOULD: 14.2053	12.5734
IS    : 14.2054	12.5733
SHOULD: 14.2055	12.5712
IS    : 14.2056	12.5706
SHOULD: 14.2059	12.5671
IS    : 14.2058	12.568
SHOULD: 14.206	12.565
IS    : 14.206	12.5653
SHOULD: 14.2062	12.5629
IS    : 14.2062	12.5627
SHOULD: 14.2063	12.5608
IS    : 14.2064	12.56
SHOULD: 14.2065	12.5568
IS    : 14.2065	12.5574
SHOULD: 14.2066	12.5547
IS    : 14.2066	12.5548
SHOULD: 14.2067	12.5527
IS    : 14.2067	12.5522
SHOULD: 14.2068	12.5487
IS    : 14.2067	12.5495
SHOULD: 14.2068	12.5467
IS    : 14.2068	12.547
SHOULD: 14.2068	12.5447
IS    : 14.2068	12.5443
SHOULD: 14.2068	12.5408
IS    : 14.2068	12.5417
SHOULD: 14.2068	12.5388
IS    : 14.2068	12.5392
SHOULD: 14.2068	12.5369
IS    : 14.2067	12.5366
SHOULD: 14.2067	12.533
IS    : 14.2067	12.534
SHOULD: 14.2066	12.5311
IS    : 14.2066	12.5314
SHOULD: 14.2066	12.5292
IS    : 14.2065	12.5289
SHOULD: 14.2064	12.5254
IS    : 14.2063	12.5263
SHOULD: 14.2063	12.5235
IS    : 14.2062	12.5237
SHOULD: 14.206	12.5197
IS    : 14.206	12.5211
SHOULD: 14.2059	12.5179
IS    : 14.2058	12.5186
SHOULD: 14.2057	12.516
IS    : 14.2056	12.516
SHOULD: 14.2054	12.5123
IS    : 14.2054	12.5134
SHOULD: 14.2052	12.5105
IS    : 14.2051	12.5108
SHOULD: 14.2048	12.5069
IS    : 14.2048	12.5083
