31000    1
31001    2
31002    3
31003    1
31004    0
31005    0
31006    1
31007    0
31008    0
31009    0
31010    1
31011    0
31012    1
31013    0
31014    0
31015    0
31016    0
31017    0
31018    0
31019    0
31020    0
31021    1
31022    2
31023    1
31024    0
31025    0
31026    0
31027    0
31028    0
31029    1
31030    0
31031    0
31032    0
31033    1
31034    0
31035    1
31036    1
31037    0
31038    0
31039    0
31040    0
31041    0
31042    0
31043    1
31044    0
31045    1
31046    1
31047    0
31048    0
31049    0
31050    0
31051    0
31052    0
31053    0
31054    0
31055    0
31056    0
31057    0
31058    0
31059    0
31060    0
31061    0
31062    0
31063    0
31064    0
31065    0
31066    1
31067    0
31068    0
31069    0
31070    0
31071    0
31072    0
31073    0
31074    0
31075    0
31076    0
31077    1
31078    1
31079    1
31080    0
31081    0
31082    0
31083    0
31084    0
31085    3
31086    0
31087    0
31088    0
31089    2
31090    0
31091    1
31092    0
31093    0
31094    0
31095    0
31096    2
31097    2
31098    1
31099    0
31100    1
31101    2
31102    1
31103    3
31104    0
31105    1
31106    0
31107    2
31108    2
31109    1
31110    1
31111    4
31112    0
31113    2
31114    5
31115    4
31116    9
31117    16
31118    17
31119    22
31120    25
31121    22
31122    25
31123    24
31124    16
31125    11
31126    7
31127    2
31128    5
31129    0
31130    2
31131    1
31132    1
31133    1
31134    0
31135    0
31136    1
31137    0
31138    0
31139    0
31140    0
31141    1
31142    1
31143    0
31144    0
31145    1
31146    1
31147    0
31148    0
31149    0
31150    0
31151    1
31152    1
31153    1
31154    1
31155    0
31156    0
31157    0
31158    0
31159    0
31160    1
31161    0
31162    0
31163    1
31164    0
31165    1
31166    0
31167    1
31168    0
31169    0
31170    0
31171    0
31172    0
31173    0
31174    0
31175    0
31176    0
31177    0
31178    1
31179    0
31180    0
31181    0
31182    0
31183    0
31184    0
31185    0
31186    0
31187    0
31188    0
31189    1
31190    0
31191    0
31192    0
31193    0
31194    1
31195    0
31196    0
31197    0
31198    0
31199    0
31200    0
31201    0
31202    0
31203    0
31204    0
31205    0
31206    1
31207    0
31208    0
31209    0
31210    0
31211    0
31212    0
31213    0
31214    0
31215    0
31216    0
31217    0
31218    0
31219    0
31220    0
31221    0
31222    0
31223    0
31224    0
31225    1
31226    0
31227    0
31228    1
31229    1
31230    0
31231    0
31232    0
31233    0
31234    0
31235    0
31236    0
31237    0
31238    0
31239    1
31240    0
31241    0
31242    0
31243    1
31244    0
31245    0
31246    0
31247    0
31248    1
31249    0
31250    0
31251    0
31252    0
31253    0
31254    1
31255    0
31256    0
31257    0
31258    0
31259    0
31260    0
31261    0
31262    0
31263    0
31264    0
31265    0
31266    0
31267    0
31268    0
31269    0
31270    0
31271    0
31272    0
31273    0
31274    0
31275    0
31276    1
31277    0
31278    0
31279    0
31280    0
31281    0
31282    0
31283    0
31284    0
